"field","type","required","provenance_requirement","pass_condition","block_condition","notes","source"
"attack_gap_matched_random_record","json","true","see_pass_condition","Records targeted removal matched random weakening removed budget seed policy and repeats if stochastic","missing matched random control removed budget or seed/repeat policy","Executes GCL-04","B_round3_patch"
"B0_batch_or_family","string","true","Synthesis batch structure family or literature family key","present_and_provenance_satisfies_schema","missing_family_key","Required for family/batch blocking","active_schema"
"B0_carrier_density","float","true","Independent Hall/Drude/source value with unit and method","present_and_provenance_satisfies_schema","missing_or_same_measurement_inversion","Forbidden for Hall mobility if algebraically used to compute target","active_schema"
"B0_finite_size","string_or_float","true","Atom count cell size snapshot window or model-size descriptor","present_and_provenance_satisfies_schema","missing_size_descriptor","Needed to prevent finite-size graph artifacts","active_schema"
"B0_mobility_edge_margin","float","true","Independent electronic calculation or declared missingness","present_and_provenance_satisfies_schema","missing_or_same_spectral_fit","Forbidden for spectral target if extracted from same fitted feature","active_schema"
"B0_onsite_variance","float","true","Independent Hamiltonian/electronic-structure source or declared missingness","present_and_provenance_satisfies_schema","missing_or_target_leakage","Forbidden if computed from the target Wannier label","active_schema"
"batch_family_nonleakage_result","string","true","see_pass_condition","Value is pass or not_applicable_with_rationale with provenance notes","fail blocked_missing_provenance or family key chosen after target inspection","Forbidden-control and leakage check","B_round3_patch"
"carrier_density_independence_result","string","true","see_pass_condition","Value is pass or not_applicable_with_rationale with provenance notes","fail blocked_missing_provenance or inverted from same Hall/Drude target measurement","Forbidden-control per-row check","B_round3_patch"
"cross_source_mismatch_audit_json","json","true","see_pass_condition","For cross-source rows processing temporal/sample temperature carrier-density and family dimensions are all pass or not_applicable_with_rationale","missing failed or blocked mismatch dimension for cross-source candidates","Executes SSX-03 and keeps blocked joins blocked","B_round3_patch"
"crosswalk_evidence_json","json","true","see_pass_condition","sample_id links material_id structure_id snapshot_id_or_window label_provenance_id controls G1 metrics and batch/family key","missing name-only match composition-only match or any unlinked row entity","Executes SSX-02 structure-label identity","B_round3_patch"
"external_Hall_Drude_Wannier_spectral_label","float_or_json","true","External label value unit method direction class and source","present_and_provenance_satisfies_schema","missing_external_label_or_graph_generated_label","Synthetic/graph-generated labels cannot validate material claims","active_schema"
"external_label_independence_pass","boolean","true","see_pass_condition","Derived true only when label payload provenance independence externality and synthetic flag checks pass","manual true or any label independence component failed blocked or missing","Intermediate gate for material_validation_allowed","B_round3_patch"
"external_label_payload","json","true","see_pass_condition","Label value unit name method source type and temperature/scope are explicit","missing numeric payload unit method source type or required scope","Reconciles external_Hall_Drude_Wannier_spectral_label with auditable payload","B_round3_patch"
"family_batch_key_lock_record","json_or_string","true","see_pass_condition","B0_batch_or_family was defined before target inspection and does not encode target class/value","missing post-label or target-encoding family key","Executes SSX-05 leakage key lock","B_round3_patch"
"fixed_pair_count","integer_or_null","true","see_pass_condition","integer N_pair is present when OI_comparison_mode=fixed_pair; null is allowed only for fixed_density or no_claim","missing or null while claiming fixed_pair; non-integer count; count not mapped to same structure row","Explicit N_pair field requested by inspector","A_round3_patch"
"forbidden_audit_timestamp_or_version","string","true","see_pass_condition","Audit timestamp version or protocol id is present","missing","Required minimum audit record field","B_round3_patch"
"forbidden_auditor_role","string","true","see_pass_condition","Auditor role or process id is present","missing","Required minimum audit record field","B_round3_patch"
"forbidden_columns_checked","string_array","true","see_pass_condition","columns checked by the rule are listed explicitly inside each audit record","missing empty for applicable rule or does not cover columns matched by the rule pattern","Makes row audit replayable","A_round3_patch"
"forbidden_control_audit","string","true","Audit result against C2_forbidden_controls_rules.csv","present_and_provenance_satisfies_schema","missing_audit","Any failed forbidden-control audit sets material_validation_allowed=false","active_schema"
