field,type,required,pass_condition,block_condition,notes
OI_comparison_mode,enum,true,"value is one of fixed_density fixed_pair no_claim and is fixed before target-dependent modeling","missing free-text changed after label inspection or inconsistent with OI claim mode","Required input for executable fixed-density versus fixed-pair audit"
fixed_pair_count,integer_or_null,true,"integer N_pair is present when OI_comparison_mode=fixed_pair; null is allowed only for fixed_density or no_claim","missing or null while claiming fixed_pair; non-integer count; count not mapped to same structure row","Explicit N_pair field requested by inspector"
N_pair_provenance_id,string_or_null,true,"row-level pair-count source or computation record is present when OI_comparison_mode=fixed_pair; null is allowed only for fixed_density or no_claim","missing while claiming fixed_pair; source lacks cutoff/counting convention; source is not same-row","Auditable provenance for fixed_pair_count"
forbidden_control_audit_contract,json_array,true,"one normalized record exists for each applicable rule with rule_id target_type namespace columns_checked result reason; every result is pass or not_applicable","missing record parser error unknown namespace failed rule missing reason or incomplete columns_checked","Normalized replacement/extension for high-level forbidden_control_audit JSON"
forbidden_rule_id,string,true,"stable id exists inside each forbidden_control_audit_contract record and maps to the active rule set","missing unstable duplicate within row or not mapped to a known rule","Per-rule output column"
forbidden_rule_target_type,string,true,"target_type is present inside each audit record and matches the row target family","missing or inconsistent with row target","Per-rule output column"
forbidden_rule_namespace,enum,true,"namespace is a single parser-recognized value in oi graph controls label","missing unknown or semicolon-delimited multi-namespace token","Prevents opaque oi;graph semantics"
forbidden_columns_checked,string_array,true,"columns checked by the rule are listed explicitly inside each audit record","missing empty for applicable rule or does not cover columns matched by the rule pattern","Makes row audit replayable"
forbidden_rule_result,enum,true,"result is pass or not_applicable with reason for every rule record","fail unknown missing or parser_error","Any fail drives row_decision=failed_forbidden_control"
forbidden_rule_reason,string,true,"reason records why the rule passed or was not applicable","missing empty or generic parser placeholder","Required for mechanical audit traceability"
