field,type,required,pass_condition,block_condition,notes
row_id,string,true,Stable joined-row key exists and is reproducible from the predeclared join table,row key missing or regenerated after target inspection,Primary key for attaching structured audit records
material_id,string,true,Human-readable material or composition descriptor is present and does not substitute for sample_id,missing or used as the only same-sample key,Secondary descriptor only
structure_id,string,true,Stable structure or model identifier maps to structure_or_SI_source and graph metrics,missing for any row with G1 fields,Required for same-graph consistency
snapshot_id_or_window,string,true,Atomic snapshot averaging window or declared static-structure scope is present,missing for graph row or incompatible with label scope,May encode static structure if explicitly declared
sample_id_creation_record,json_or_string,true,Version timestamp or protocol record predates label extraction,missing later than label extraction or target-derived,Executes SSX-01 pre-label sample key lock
crosswalk_evidence_json,json,true,"sample_id links material_id structure_id snapshot_id_or_window label_provenance_id controls G1 metrics and batch/family key",missing name-only match composition-only match or any unlinked row entity,Executes SSX-02 structure-label identity
cross_source_mismatch_audit_json,json,true,"For cross-source rows processing temporal/sample temperature carrier-density and family dimensions are all pass or not_applicable_with_rationale",missing failed or blocked mismatch dimension for cross-source candidates,Executes SSX-03 and keeps blocked joins blocked
snapshot_label_scope_match,string,true,Value is pass declared_matched_structure_pass or not_applicable_with_rationale,missing fail or label scope contradicts graph snapshot/window,Executes SSX-04
family_batch_key_lock_record,json_or_string,true,B0_batch_or_family was defined before target inspection and does not encode target class/value,missing post-label or target-encoding family key,Executes SSX-05 leakage key lock
same_sample_crosswalk_pass,boolean,true,Derived true only when all same-sample crosswalk fields pass,manual true or any SSX component failed blocked or missing,Intermediate gate for material_validation_allowed
graph_convention_provenance_id,string,true,Protocol id version or timestamp exists and predates label reading,missing or selected after labels,Executes GCL-01
graph_cutoff_rule,json_or_string,true,Edge and weight rule including geometry/orbital inputs is declared and computable from structure_or_SI_source,missing post-label or not computable from row structure source,Needed for all G1 metrics
graph_protocol_prelabel_lock,string,true,Value is pass with evidence that graph cutoff weighting Laplacian budget attack and seed policies predate labels,missing fail or only asserted in prose after label inspection,Mechanical pre-label lock result
lambda2_laplacian_convention,string,true,Value equals L_sym and references graph_convention_provenance_id,not L_sym missing or convention not tied to protocol id,Executes GCL-02
rho_A_budget_norm_rule,json_or_string,true,Records weighted adjacency raw rho if used budget quantity and normalization formula,raw unnormalized rho only or missing normalization budget,Executes GCL-03
attack_gap_matched_random_record,json,true,Records targeted removal matched random weakening removed budget seed policy and repeats if stochastic,missing matched random control removed budget or seed/repeat policy,Executes GCL-04
G1_same_graph_row_consistency,string,true,Value is pass when all G1 metrics share structure_id snapshot_id_or_window graph_cutoff_rule and graph_convention_provenance_id,missing fail or G1 fields come from mixed graph rows,Executes GCL-05
graph_convention_lock_pass,boolean,true,Derived true only when all graph convention lock fields pass,manual true or any GCL component failed blocked or missing,Intermediate gate for material_validation_allowed
external_label_payload,json,true,Label value unit name method source type and temperature/scope are explicit,missing numeric payload unit method source type or required scope,Reconciles external_Hall_Drude_Wannier_spectral_label with auditable payload
is_external_to_graph_proxy,boolean,true,True only if label was not generated by graph proxy target fit or synthetic process,false missing or not independently auditable,Required for material validation
label_extraction_pregraph_independence_record,json_or_string,true,Record shows label extraction/source is independent of graph feature generation and target fitting,missing graph-generated target-fit-generated or synthetic label source,External label independence proof
label_method_scope,string,true,Measurement or calculation method and label scope are declared,missing method or ambiguous Hall/Drude/Wannier/spectral scope,Prevents payload without interpretable label type
label_temperature_or_scope,string,true,Temperature direction class window or static scope is declared where relevant,missing required experimental/spectral scope,Used by cross-source mismatch audit
material_source_flag,string,true,Value is same_sample_material audited_declared_matched_structure_material baseline_context_only external_label_candidate_only blocked_join_candidate cross_source_candidate_blocked or synthetic_diagnostic,missing unrecognized or material-valid status asserted without crosswalk audit,Only first two values can ever pass material gate
external_label_independence_pass,boolean,true,Derived true only when label payload provenance independence externality and synthetic flag checks pass,manual true or any label independence component failed blocked or missing,Intermediate gate for material_validation_allowed
forbidden_control_audit_record_json,json,true,Structured record contains timestamp/version auditor role per-check results provenance notes and derived decision,missing or replaced by free-text pass,Prevents single-string audit pass
forbidden_control_audit_decision,string,true,Value is derived_pass derived_fail blocked_missing_provenance or not_applicable_with_rationale,manual pass or inconsistent with per-check results,Structured replacement for free-text forbidden_control_audit decision
forbidden_audit_timestamp_or_version,string,true,Audit timestamp version or protocol id is present,missing,Required minimum audit record field
forbidden_auditor_role,string,true,Auditor role or process id is present,missing,Required minimum audit record field
onsite_variance_independence_result,string,true,Value is pass or not_applicable_with_rationale with provenance notes,fail blocked_missing_provenance or computed from target Wannier Hamiltonian,Forbidden-control per-row check
carrier_density_independence_result,string,true,Value is pass or not_applicable_with_rationale with provenance notes,fail blocked_missing_provenance or inverted from same Hall/Drude target measurement,Forbidden-control per-row check
mobility_edge_independence_result,string,true,Value is pass or not_applicable_with_rationale with provenance notes,fail blocked_missing_provenance or extracted from same spectral fit as target,Forbidden-control per-row check
batch_family_nonleakage_result,string,true,Value is pass or not_applicable_with_rationale with provenance notes,fail blocked_missing_provenance or family key chosen after target inspection,Forbidden-control and leakage check
graph_generated_label_exclusion_result,string,true,Value is pass with is_external_to_graph_proxy=true and synthetic_label_flag=false,fail blocked_missing_provenance graph-generated label or synthetic label,Forbidden-control label exclusion check
missingness_not_silent_result,string,true,Value is pass when all required missing fields carry explicit blocker state and rationale,fail blocked_missing_provenance or silent missing required field,Prevents implicit NA from passing
forbidden_control_audit_pass,boolean,true,Derived true only when structured audit record exists and all six per-check results pass or not_applicable_with_rationale,manual true any failed check or any blocked/missing provenance,Intermediate gate for material_validation_allowed
