field,required,namespace,allowed_role,provenance_requirement,current_candidate_source,current_status,material_validation_allowed,blocker
sample_id,true,join_key,same_sample_identity,Stable row id that maps structure baseline controls graph features and external label to the same specimen or declared snapshot/window,C2_join_schema sample_id,defined,false,no complete row yet
label_provenance_id,true,provenance,external_label_trace,DOI plus table/figure/SI row or digitized point id; must identify measurement conditions,C2_round3_external_label_schema,defined,false,no same-sample join to graph row
structure_or_SI_source,true,provenance,structure_trace,Auditable structure file/SI/table/figure path with DOI and structure_id or explicit note that structure is unavailable,Jankousky/Srivastava candidate PDFs,partial,false,no raw structure bundle or stable structure_id
O_s_or_exact_overlap_baseline,true,baseline,Srivastava_style_overlap,Exact Srivastava-style overlap value or executable formula plus normalization rule,Srivastava 2019 Table II/Fig4; C2_Srivastava_baseline_rows,partial,false,exact normalization/SI and structure mapping incomplete
B0_onsite_variance,true,control,pre_target_control,Independent onsite variance or declared missing; must not be computed from target label,none,missing,false,no same-sample Hamiltonian/Wannier provenance
B0_carrier_density,true,control,pre_target_control,Carrier density with source and measurement independence audit,Furubayashi/Jankousky candidate labels,partial,false,no same-sample structure-label crosswalk
B0_mobility_edge_margin,true,control,pre_target_control,Mobility-edge margin with source,method,and leakage audit,Jankousky candidate spectral analysis,partial,false,no row-level mapping to graph/baseline features
B0_finite_size,true,control,batch_size_control,Number of atoms/cell/snapshot size or literature finite-size proxy,Srivastava rows have cell_volume but not num_atoms; graph rows blocked,partial,false,num_atoms/snapshot_id not complete
B0_batch_or_family,true,control,batch_family_control,Processing batch,calculation batch,or family key independent of target,source DOI/material family,partial,false,batch/family key not enough for same-sample validation
G1_lambda2_Lsym,true,graph_feature,graph_residual_feature,Computed from auditable atomistic graph with locked graph construction rule,C2_material_graph_rows_blocked,missing,false,no raw structure graph computation
G1_rho_A_budget_norm,true,graph_feature,graph_residual_feature,Computed from auditable atomistic graph with fixed adjacency/weight/budget rule,C2_material_graph_rows_blocked,missing,false,no raw structure graph computation
G1_attack_gap_lambda2,true,graph_feature,graph_residual_feature,Targeted-vs-random damage contrast from locked graph rule,C2_material_graph_rows_blocked,missing,false,no raw structure graph computation
external_Hall_Drude_Wannier_spectral_label,true,label,target_label,External label with independent provenance and forbidden-control audit,C2_round3_external_label_schema; Furubayashi/Jankousky candidates,partial,false,no same-sample graph/baseline row
forbidden_control_audit,true,audit,leakage_control,Pass/fail audit using C2_forbidden_controls_rules; split oi/graph namespace if executor cannot parse combined namespace,C2_forbidden_controls_rules,defined,false,no complete candidate row to audit
