mode,status_enum,pass_condition,warn_condition,block_condition,current_expected_status
not_applicable,NOT_APPLICABLE,"OI_comparison_mode is null or the row does not claim any Srivastava comparison; OI_Srivastava_reproduction.applies_to_row=false","A free-text Srivastava mention exists but no comparison mode is declared","OI_comparison_mode is absent while downstream fields assert srivastava_reproduction or material_validation_claimed=true","NOT_APPLICABLE"
reported_context_only,CONTEXT_ONLY,"OI_comparison_mode=reported_context_only; source citation or reported OI_norm may be stored as literature context; material_validation_claimed=false; residual_baseline_claimed=false","source_row_id, structure_id, formula/code, raw sum, normalization, or executor trace are missing, but no exact reproduction or residual baseline claim is made","reported_context_only is promoted to srivastava_reproduction, residual_baseline_claimed=true, or material_validation_claimed=true without all exact reproduction witnesses","CONTEXT_ONLY"
reported_context_only,BLOCK_MODE_PROMOTION,"No pass state for this branch; promotion is illegal unless the row is reclassified as exact_reproduction_attempt and all required witnesses pass","A reviewer note may request future recovery of missing witnesses","reported OI_norm or prose context is used as an exact O_s residual oracle or graph-vs-overlap validation baseline","BLOCK_MODE_PROMOTION"
fixed_density_attempt,WARN_PARTIAL_CONTEXT,"OI_comparison_mode=fixed_density_attempt; pair_density with units and density provenance are present; exact reproduction is not claimed; material_validation_claimed=false","pair_density is present but pair cutoff, N_pair, or source denominator trace is missing; executor may retain it only as non-exact context","same-structure exact O_s reproduction, residual baseline, or material validation is claimed from fixed-density context alone","WARN_PARTIAL_CONTEXT"
fixed_density_attempt,BLOCK_MISSING_WITNESS,"All density-mode witness fields are present and no exact reproduction claim is made","Some fixed-density metadata are present but not enough to bind source row, structure, and units","pair_density, units, density provenance, or source_row_id required by the density-mode attempt is missing","BLOCK_MISSING_WITNESS"
fixed_pair_attempt,WARN_PARTIAL_CONTEXT,"OI_comparison_mode=fixed_pair_attempt; pair_selection_rule, pair_cutoff_A or source pair-procedure id, N_pair, and units are present; exact normalization is not claimed","pair rule is present but formula/code, raw overlap sum, normalization rule, or same-structure mapping is missing","fixed-pair context is promoted to exact reproduction or material validation without exact formula/code, raw sum, normalization, same-structure mapping, and executor trace","WARN_PARTIAL_CONTEXT"
fixed_pair_attempt,BLOCK_MISSING_WITNESS,"All fixed-pair metadata are present and no exact reproduction claim is made","Partial pair metadata exist but do not define the executable pair set P(S,theta_pair)","pair_selection_rule, pair_cutoff_A or source pair-procedure id, boundary convention, units, N_pair, or source_row_id is missing","BLOCK_MISSING_WITNESS"
exact_reproduction_attempt,PASS_REPRODUCTION_CONTRACT,"OI_comparison_mode=srivastava_reproduction or exact_reproduction_attempt; source_row_id, structure_id, exact_overlap_formula_or_code_ref, pair_selection_rule, OI_raw_sum, normalization_rule_ref, same_structure_mapping_ref, machine_reviewable_witnesses, and executor_trace are present and identity-consistent; material_validation_claimed=false","Non-critical provenance fields are present only as free text but every required executable witness is machine-reviewable and hashable","Any required exact reproduction witness is missing, non-machine-reviewable, or identity-inconsistent","BLOCK_MISSING_WITNESS"
exact_reproduction_attempt,BLOCK_MISSING_SOURCE_ROW,"source_row_id gives stable DOI plus table/figure/SI/path plus row/sample/snapshot id","paper-level citation exists but row/sample/snapshot identity is ambiguous","source_row_id is missing or cannot select one replay row","BLOCK_MISSING_SOURCE_ROW"
exact_reproduction_attempt,BLOCK_MISSING_STRUCTURE,"structure_id is a raw structure file, SI structure id, or reconstruction manifest version bound to source_row_id","material name or composition is present but exact coordinates/snapshot identity are absent","structure_id is missing, structure hash is absent when required, or structure_id is not bound to source_row_id","BLOCK_MISSING_STRUCTURE"
