failure_mode,blocked_gate,witness_needed,why_reported_context_insufficient,executor_status
mode_not_declared_as_reproduction,G5,"OI_Srivastava_reproduction.applies_to_row=true plus explicit OI_comparison_mode=srivastava_reproduction in the row audit payload","A reported OI_norm can be literature context, fixed_density context, or fixed_pair context; without an explicit reproduction mode the executor cannot decide that exact Srivastava O_s replay is being claimed.","BLOCK_IF_REPRODUCTION_CLAIMED_ELSE_NOT_APPLICABLE"
missing_exact_overlap_formula_or_code,G5,"exact_overlap_formula_or_code_ref: equation id, SI method, or versioned code reference defining omega(i,j), pair summation semantics, and tolerances","The final reported OI_norm number does not define the overlap kernel or summation procedure; two different kernels can print the same normalized value while failing exact replay.","BLOCK"
missing_normalization_rule,G5,"normalization_rule_ref or OI_normalization_formula_id tied to the same source row and raw sum","Reported normalized context is already post-map; without the normalization map the executor cannot connect raw overlap evidence to exact O_s or OI_norm.","BLOCK"
missing_same_structure_mapping,G5,"same_structure_mapping_ref linking source_row_id, structure_id, snapshot/window, pair rule, raw sum, denominator, and reported normalized value","A citation-level row does not prove that the reported value, reconstructed structure, denominator, and replay computation refer to one atomistic structure.","BLOCK"
missing_source_row_identity,G0/G5,"source_row_id: stable DOI plus table/figure/SI/path plus row/sample/snapshot identifier","Reported context may identify a paper-level claim but not the exact source row to replay; row ambiguity prevents deterministic witness evaluation.","BLOCK"
missing_structure_identity,G1/G5,"structure_id: raw structure file, SI structure id, or reconstruction manifest version bound to source_row_id","Material name or composition is not enough for exact O_s; the overlap sum is structure-specific and snapshot-specific.","BLOCK"
missing_raw_overlap_sum,G5,"OI_raw_sum with provenance to source_row_id, structure_id, pair rule, and formula/code version","A normalized OI_norm is not decomposable into raw numerator and denominator; the executor cannot distinguish successful replay from copied context.","BLOCK_FOR_EXACT_REPRODUCTION"
missing_pair_selection_rule,G5,"pair_cutoff_A or exact source-defined pair-selection procedure id, including units and inclusion/exclusion boundary convention","The pair set P(S,theta_pair) is part of O_s; reported context does not specify which atom pairs entered the raw sum.","BLOCK"
missing_pair_denominator_trace,G5,"N_pair and N_pair_provenance_id, or pair_density with units when the comparison mode requires fixed_density","The denominator can change with cutoff, density, snapshot, and finite-size handling; a prose value is not traceable enough for exact normalization audit.","BLOCK_OR_WARN_BY_MODE"
free_text_only_witnesses,G5,"machine_reviewable evidence items: DOI/table row, SI file, raw structure file, protocol record, or versioned manifest","Free-text statements can explain context but cannot be replayed by the executor; manual labels are advisory under the schema.","WARN_IF_PARTIAL_BLOCK_IF_REQUIRED_FIELD_ONLY"
missing_executor_trace,G6/G7,"executor_trace: input hashes, code/formula version, computed raw sum, normalization output, tolerance, and final O_s/OI_norm","A proof-carrying payload must derive status from fields; without a replay trace the payload remains a report, not an executable witness.","BLOCK_FOR_MATERIAL_VALIDATION_ALLOWED"
context_value_used_as_residual_baseline,G5/G6/G7,"mode-separation witness showing reported_context_only is not promoted to srivastava_reproduction unless all G5 replay witnesses pass","Using reported OI_norm as an exact residual oracle collapses the distinction between literature context and reproduced baseline.","BLOCK"
material_validation_claimed_during_reproduction_audit,G7,"material_validation_claimed=false and no graph-vs-overlap residual claim until row_decision=PASS","The current stage is reproduction gating only; a context-only Srivastava row cannot authorize material validation.","BLOCK"
contradictory_payload_identity,G1/G5/G6,"contradiction-free crosswalk among row_id, source_row_id, structure_id, label_provenance_id, and OI_Srivastava_reproduction witnesses","If payload identities disagree, the executor cannot know which structure and value are being reproduced even if some context fields are present.","BLOCK"
current_payload_incomplete_not_principle_failure,G5,"Future payload may supply formula/code, normalization, same-structure mapping, raw sum, pair rule, denominator trace, and executor trace","The present reported context is insufficient for exact reproduction, but this does not prove that Srivastava O_s is unreproducible in principle or physically wrong.","BLOCK_CURRENT_PAYLOAD_ONLY"
