field,needed_for,available_now,evidence_source,current_status,minimum_unblock_action
source_doi,"Identify the Srivastava source for reported context and future reproduction payload","10.1063/1.5096042 is present in all four local rows; Crossref confirms Srivastava et al. 2019 JAP 126 125702","current/A/artifacts/C2_Srivastava_baseline_rows.csv; paper-search-mcp Crossref DOI lookup 2026-06-04","PASS_FOR_CONTEXT","None for context use; keep DOI attached to any future exact-witness payload."
source_row_id,"Tie each reported OI_norm value to a stable row before any same-row reproduction attempt","Four local row ids are present: Srivastava2019_TableII_Fig4_a_IGZO_1114; Srivastava2019_TableII_Fig4_a_IGZO_2217; Srivastava2019_TableII_Fig4_a_ZnON_21; Srivastava2019_TableII_Fig4_a_ZnON_11","current/A/artifacts/C2_Srivastava_baseline_rows.csv","PARTIAL_CONTEXT_ONLY","Recover official table/SI row labels or page/table witnesses and map each local source_row_id to the official source row."
sample_id,"Join reported values to future structure and validation rows","a-IGZO-1114; a-IGZO-2217; a-ZnON-21; a-ZnON-11 are present","current/A/artifacts/C2_Srivastava_baseline_rows.csv","PARTIAL_CONTEXT_ONLY","Map each sample_id to an exact atomistic structure_id and official provenance."
material_formula,"Describe reported sample chemistry for context baseline","a-IGZO and ZnON formulas are present in four rows","current/A/artifacts/C2_Srivastava_baseline_rows.csv","PASS_FOR_CONTEXT","No unblock needed for context; for exact reproduction verify formula against official table/SI."
composition_vector,"Check stoichiometry consistency for same-sample mapping","Composition JSON strings are present for all four rows","current/A/artifacts/C2_Srivastava_baseline_rows.csv","PASS_FOR_CONTEXT_PARTIAL_FOR_REPRODUCTION","Verify composition against the exact structure file and atom count."
phase_state,"Separate amorphous Srivastava rows from crystalline or unrelated rows","amorphous is present for all four rows","current/A/artifacts/C2_Srivastava_baseline_rows.csv","PASS_FOR_CONTEXT","No unblock needed for context."
join_level,"Prevent reported context rows from being misused as reproduced exact O_s","All four rows are labeled reported_table_and_text","current/A/artifacts/C2_Srivastava_baseline_rows.csv; inspector_A_C2T_S2_round1.md","BLOCKS_EXACT_REPRODUCTION","Upgrade only after attaching row-level exact witness payload; until then keep join_level reported_table_and_text."
structure_id,"Required to prove the same atomistic structure generated OI_raw_sum and OI_norm","Blank in all four rows","current/A/artifacts/C2_Srivastava_baseline_rows.csv; inspector_A_C2T_S2_round1.md","BLOCK","Obtain Srivastava structure files or exact coordinates and assign stable structure_id per row."
num_atoms,"Required to check structure identity, composition, and pair counts","Blank in all four rows","current/A/artifacts/C2_Srivastava_baseline_rows.csv; inspector_A_C2T_S2_round1.md","BLOCK","Extract atom count from official structure/SI and verify against composition_vector."
cell_volume_m3,"Needed for reported OI normalization context and future reproduction checks","Present for all four rows: 1.14819645e-27; 1.15270734e-27; 1.0817498e-27; 1.5069619e-27 m3","current/A/artifacts/C2_Srivastava_baseline_rows.csv","PARTIAL_CONTEXT_ONLY","Verify volumes against the exact structure cell and unit convention before exact reproduction."
OI_norm,"Reported orbital-overlap value; not sufficient for reproduced exact O_s","Present for all four rows: 0.02966; 0.02669; 0.06231; 0.06693","current/A/artifacts/C2_Srivastava_baseline_rows.csv; C2T_S2_round1.json","REPORTED_CONTEXT_ONLY","Keep as reported_context_only unless OI_raw_sum, normalization, pair rule, and structure witness reproduce it."
OI_raw_sum,"Required core witness for reproduced exact O_s before normalization","Blank in all four rows; no public raw-sum witness found by Round 1 or Round 2 paper-search-mcp checks","current/A/artifacts/C2_Srivastava_baseline_rows.csv; C2T_S2_round1.json; paper-search-mcp 2026-06-04","BLOCK","Recover or recompute raw overlap sums from exact Srivastava structures with logged code and pair list."
OI_normalization_method,"Context description of how reported OI_norm was defined","Prose labels are present: sum_over_metal_cation_pairs_Number_of_Pairs_times_OI_per_A3_volume_reported_in_Table_II; single_Zn_Zn_pair_type_Number_of_Pairs_times_OI_per_A3_volume_reported_in_Table_II","current/A/artifacts/C2_Srivastava_baseline_rows.csv","PARTIAL_CONTEXT_ONLY","Convert prose method to executable normalization formula id with variables, units, and source citation."
OI_normalization_formula_id,"Executable formula reference required by witness executor","No executable formula id is present","C2T_S2_round1.json reproduction_fields_status; inspector_A_C2T_S2_round1.md warning carryover","BLOCK","Create a versioned formula id tied to Srivastava text/SI and validate it against OI_raw_sum and OI_norm."
OI_digitization_uncertainty,"Needed if OI_norm values are digitized rather than table-extracted","Blank in all four rows","current/A/artifacts/C2_Srivastava_baseline_rows.csv","WARN","Declare table-extracted exact transcription or provide digitization uncertainty and page/figure provenance."
pair_cutoff_A,"Needed for pair selection rule in exact overlap reproduction","Value 4 is present for all four rows, but without source-row-specific pair-count/provenance witness","current/A/artifacts/C2_Srivastava_baseline_rows.csv; inspector_A_C2T_S2_round1.md","PARTIAL_BLOCK","Attach official pair rule/cutoff citation, pair-list generation code, and row-specific pair count."
pair_overlap_kernel,"Needed to reproduce orbital overlap values from distances and orbital parameters","Mulliken_STO_overlap_integral_at_average_pair_distance is present as a method label","current/A/artifacts/C2_Srivastava_baseline_rows.csv","PARTIAL_BLOCK","Provide executable Mulliken/STO kernel formula, orbital parameters, units, and code used for each pair type."
q_i_q_j_weight_rule,"Needed to reproduce weighted pair contributions","Srivastava_SI_III_STO_pair_orbital_weights is present as a method label","current/A/artifacts/C2_Srivastava_baseline_rows.csv","PARTIAL_BLOCK","Recover SI section/table for STO weights and encode weights in machine-readable form."
pair_density,"Required by C2T witness requirements for reproduction gates or fixed-density alternatives","Absent from current rows","C2T_S2_round1.json reproduction_fields_status","BLOCK","Compute pair density from verified N_pair and cell volume, or declare a non-Srivastava comparison mode."
