test_id,input_fixture,command,expected_stdout_or_file,expected_status,guards_against
I1_LOCATOR_ONLY_TO_CONTEXT,current/B/fixtures/I1_authoritative_cases_round3.jsonl::I1_LOCATOR_ONLY_TO_CONTEXT,"python validation/validate.py --case current/B/fixtures/I1_authoritative_cases_round3.jsonl::I1_LOCATOR_ONLY_TO_CONTEXT --expect-status BLOCK --expect-first-failed ""F01/P0_LOCATOR_REPORTED_CONTEXT"" --strict-no-silent-upgrade --no-legacy-partial-context-only","stdout: test_id=I1_LOCATOR_ONLY_TO_CONTEXT status=BLOCK first_failed_predicate=F01/P0_LOCATOR_REPORTED_CONTEXT",BLOCK,"Blocks upgrade of exact page/table/row locator alone into reported_context; requires stable identifier and parseable reported scalar."
I1_SCALAR_ONLY_TO_CONTEXT,current/B/fixtures/I1_authoritative_cases_round3.jsonl::I1_SCALAR_ONLY_TO_CONTEXT,"python validation/validate.py --case current/B/fixtures/I1_authoritative_cases_round3.jsonl::I1_SCALAR_ONLY_TO_CONTEXT --expect-status BLOCK --expect-first-failed ""F01/P0_LOCATOR_REPORTED_CONTEXT"" --strict-no-silent-upgrade --no-legacy-partial-context-only","stdout: test_id=I1_SCALAR_ONLY_TO_CONTEXT status=BLOCK first_failed_predicate=F01/P0_LOCATOR_REPORTED_CONTEXT",BLOCK,"Blocks scalar-only O_s evidence from becoming any non-BLOCK terminal state."
I1_DOI_PLUS_SCALAR_NO_LOCATOR,current/B/fixtures/I1_authoritative_cases_round3.jsonl::I1_DOI_PLUS_SCALAR_NO_LOCATOR,"python validation/validate.py --case current/B/fixtures/I1_authoritative_cases_round3.jsonl::I1_DOI_PLUS_SCALAR_NO_LOCATOR --expect-status BLOCK --expect-first-failed ""F02/P0_LOCATOR_REPORTED_CONTEXT"" --strict-no-silent-upgrade --no-legacy-partial-context-only","stdout: test_id=I1_DOI_PLUS_SCALAR_NO_LOCATOR status=BLOCK first_failed_predicate=F02/P0_LOCATOR_REPORTED_CONTEXT",BLOCK,"Blocks citation plus scalar from becoming source-localized context without exact page/table/figure/row locator."
I1_CONTEXT_ONLY_TO_EXACT,current/B/fixtures/I1_authoritative_cases_round3.jsonl::I1_CONTEXT_ONLY_TO_EXACT,"python validation/validate.py --case current/B/fixtures/I1_authoritative_cases_round3.jsonl::I1_CONTEXT_ONLY_TO_EXACT --expect-status CONDITIONAL_CONTEXT_PASS --expect-first-failed ""F04/P1_STRUCTURE_BOUND_CONTEXT for exact target"" --strict-no-silent-upgrade --no-legacy-partial-context-only","stdout: test_id=I1_CONTEXT_ONLY_TO_EXACT status=CONDITIONAL_CONTEXT_PASS first_failed_predicate=F04/P1_STRUCTURE_BOUND_CONTEXT for exact target",CONDITIONAL_CONTEXT_PASS,"Blocks F01-F03 reported context from promotion to exact replay or admitted exact without F04-F22."
I1_NUMERIC_CLOSENESS_CONTEXT_TO_EXACT,current/B/fixtures/I1_authoritative_cases_round3.jsonl::I1_NUMERIC_CLOSENESS_CONTEXT_TO_EXACT,"python validation/validate.py --case current/B/fixtures/I1_authoritative_cases_round3.jsonl::I1_NUMERIC_CLOSENESS_CONTEXT_TO_EXACT --expect-status BLOCK --expect-first-failed ""P8_MODE_TRANSITION_GUARD"" --strict-no-silent-upgrade --no-legacy-partial-context-only","stdout: test_id=I1_NUMERIC_CLOSENESS_CONTEXT_TO_EXACT status=BLOCK first_failed_predicate=P8_MODE_TRANSITION_GUARD",BLOCK,"Blocks numeric closeness from bypassing structure, pair set, arithmetic provenance, and predeclared tolerance predicates."
I1_NUMERIC_CLOSENESS_REPLAY_NO_TOLERANCE,current/B/fixtures/I1_authoritative_cases_round3.jsonl::I1_NUMERIC_CLOSENESS_REPLAY_NO_TOLERANCE,"python validation/validate.py --case current/B/fixtures/I1_authoritative_cases_round3.jsonl::I1_NUMERIC_CLOSENESS_REPLAY_NO_TOLERANCE --expect-status BLOCK --expect-first-failed ""F22"" --strict-no-silent-upgrade --no-legacy-partial-context-only","stdout: test_id=I1_NUMERIC_CLOSENESS_REPLAY_NO_TOLERANCE status=BLOCK first_failed_predicate=F22",BLOCK,"Blocks implicit or post hoc tolerance from admitting exactness or mismatch."
I1_EXECUTOR_QUALITY_ONLY_TO_EXACT,current/B/fixtures/I1_authoritative_cases_round3.jsonl::I1_EXECUTOR_QUALITY_ONLY_TO_EXACT,"python validation/validate.py --case current/B/fixtures/I1_authoritative_cases_round3.jsonl::I1_EXECUTOR_QUALITY_ONLY_TO_EXACT --expect-status BLOCK --expect-first-failed ""P8_MODE_TRANSITION_GUARD"" --strict-no-silent-upgrade --no-legacy-partial-context-only","stdout: test_id=I1_EXECUTOR_QUALITY_ONLY_TO_EXACT status=BLOCK first_failed_predicate=P8_MODE_TRANSITION_GUARD",BLOCK,"Blocks good software metadata or clean workflow narrative from replacing digest-bearing proof objects."
I1_EXECUTOR_TRACE_UNBOUND_INPUTS,current/B/fixtures/I1_authoritative_cases_round3.jsonl::I1_EXECUTOR_TRACE_UNBOUND_INPUTS,"python validation/validate.py --case current/B/fixtures/I1_authoritative_cases_round3.jsonl::I1_EXECUTOR_TRACE_UNBOUND_INPUTS --expect-status BLOCK --expect-first-failed ""F19/P5_EXECUTOR_TRACE_BOUND_ATTEMPT"" --strict-no-silent-upgrade --no-legacy-partial-context-only","stdout: test_id=I1_EXECUTOR_TRACE_UNBOUND_INPUTS status=BLOCK first_failed_predicate=F19/P5_EXECUTOR_TRACE_BOUND_ATTEMPT",BLOCK,"Blocks trace-shaped command logs that do not bind source structure, pair list, normalization code, intermediate digest, and output digest."
I1_REPLAY_READY_NO_RECOMPUTE,current/B/fixtures/I1_authoritative_cases_round3.jsonl::I1_REPLAY_READY_NO_RECOMPUTE,"python validation/validate.py --case current/B/fixtures/I1_authoritative_cases_round3.jsonl::I1_REPLAY_READY_NO_RECOMPUTE --expect-status CANDIDATE_EXACT_REPLAY --expect-first-failed ""F21 for admitted_exact/diagnosed_mismatch"" --strict-no-silent-upgrade --no-legacy-partial-context-only","stdout: test_id=I1_REPLAY_READY_NO_RECOMPUTE status=CANDIDATE_EXACT_REPLAY first_failed_predicate=F21 for admitted_exact/diagnosed_mismatch",CANDIDATE_EXACT_REPLAY,"Blocks declaration of exactness or mismatch before recomputed_value and predeclared tolerance comparison are available."
I1_FULL_EXACT_MATCH,current/B/fixtures/I1_authoritative_cases_round3.jsonl::I1_FULL_EXACT_MATCH,"python validation/validate.py --case current/B/fixtures/I1_authoritative_cases_round3.jsonl::I1_FULL_EXACT_MATCH --expect-status ADMITTED_EXACT --expect-first-failed ""NONE"" --strict-no-silent-upgrade --no-legacy-partial-context-only","stdout: test_id=I1_FULL_EXACT_MATCH status=ADMITTED_EXACT first_failed_predicate=NONE",ADMITTED_EXACT,"Positive exact control; prevents an over-conservative implementation from blocking a full F01-F22 exact match."
