legacy_input,target_mode,F01_F03_state,expected_status,diagnostic,reason
true,PARTIAL_CONTEXT_ONLY,all_absent,BLOCK,DEPRECATED_PARTIAL_CONTEXT_ONLY,"Deprecated target is never emitted or auto-promoted; missing F01-F03 also fails reported_context."
true,PARTIAL_CONTEXT_ONLY,F01_only_pass,BLOCK,DEPRECATED_PARTIAL_CONTEXT_ONLY,"F01 DOI/arXiv anchor without F02 exact locator and F03 scalar remains BLOCK; deprecated target adds migration diagnostic."
true,PARTIAL_CONTEXT_ONLY,F01_F02_pass_F03_absent,BLOCK,DEPRECATED_PARTIAL_CONTEXT_ONLY,"Source and locator without parseable reported scalar cannot pass reported_context; deprecated target remains BLOCK."
true,PARTIAL_CONTEXT_ONLY,F01_F03_pass_F02_absent,BLOCK,DEPRECATED_PARTIAL_CONTEXT_ONLY,"Scalar plus source without exact locator is not source-localized; deprecated target remains BLOCK."
true,PARTIAL_CONTEXT_ONLY,F02_F03_pass_F01_absent,BLOCK,DEPRECATED_PARTIAL_CONTEXT_ONLY,"Locator and scalar without stable source identifier cannot pass reported_context; deprecated target remains BLOCK."
true,PARTIAL_CONTEXT_ONLY,F01_F02_F03_present_one_invalid,BLOCK,DEPRECATED_PARTIAL_CONTEXT_ONLY,"Legacy target is BLOCK; invalid F01-F03 state would also block caller-migrated reported_context."
true,PARTIAL_CONTEXT_ONLY,F01_F02_F03_pass,BLOCK,DEPRECATED_PARTIAL_CONTEXT_ONLY,"Strict rule: even complete context does not auto-convert; caller must explicitly set target_mode reported_context."
false,reported_context,all_absent,BLOCK,MISSING_REQUIRED_FIELD,"Caller selected reported_context, but F01-F03 are absent."
false,reported_context,F01_only_pass,BLOCK,MISSING_REQUIRED_FIELD,"Reported_context requires F01, F02, and F03; DOI-only context is forbidden."
false,reported_context,F01_F02_pass_F03_absent,BLOCK,MISSING_REQUIRED_FIELD,"Reported_context requires a parseable reported scalar with units or dimensionless status."
false,reported_context,F01_F03_pass_F02_absent,BLOCK,MISSING_REQUIRED_FIELD,"Reported_context requires an exact page/table/figure/row locator."
false,reported_context,F01_F02_F03_present_one_invalid,BLOCK,INVALID_FIELD,"Explicit reported_context still blocks if any F01-F03 predicate is false."
false,reported_context,F01_F02_F03_pass,CONDITIONAL_CONTEXT_PASS,NONE,"Only explicit caller target_mode reported_context plus passing F01-F03 may emit CONDITIONAL_CONTEXT_PASS."
