field_id,field_name,type,required_for_modes,validation_predicate,current_status,blocker_if_missing
F01,source_paper_doi_or_arxiv,string,"reported_context;candidate_exact_replay;diagnosed_mismatch;admitted_exact","is_stable_identifier(value) and (starts_with(value,'10.') or starts_with(value,'arXiv:') or starts_with(value,'doi:'))",PARTIAL_CONTEXT_ONLY,"No citable source anchor for the reported scalar."
F02,source_page_table_figure_row,string,"reported_context;candidate_exact_replay;diagnosed_mismatch;admitted_exact","has_stable_source_locator(value) and references_exact_page_or_table_or_figure_or_row(value)",BLOCK,"Unconditional reported_context PASS is forbidden; a stable locator to the exact source position is required."
F03,reported_scalar_value_and_units_or_dimensionless_status,object,"reported_context;candidate_exact_replay;diagnosed_mismatch;admitted_exact","is_numeric(value.scalar) and (value.units != null or value.dimensionless == true) and preserves_source_notation(value)",BLOCK,"The reported value cannot be parsed or compared."
F04,structure_identifier,string,"candidate_exact_replay;diagnosed_mismatch;admitted_exact","nonempty(value) and identifies_single_amorphous_configuration(value)",BLOCK,"Cannot bind O_s to one amorphous configuration."
F05,structure_file_or_canonical_representation,object,"candidate_exact_replay;diagnosed_mismatch;admitted_exact","has_coordinates_cell_species(value) and is_canonicalizable(value)",BLOCK,"Input structure cannot be replayed."
F06,structure_hash_algorithm_and_hash,object,"candidate_exact_replay;diagnosed_mismatch;admitted_exact","value.algorithm in ['sha256','sha512','blake2b'] and matches_hex_digest(value.hash,value.algorithm)",BLOCK,"Same-structure identity cannot be tested."
F07,same_structure_mapping_rule,object,"candidate_exact_replay;diagnosed_mismatch;admitted_exact","defines_atom_ordering_or_permutation(value) and defines_coordinate_tolerance(value) and defines_species_mapping(value)",BLOCK,"Reported and reproduced structures cannot be aligned."
F08,species_or_orbital_channel_definition,object,"candidate_exact_replay;diagnosed_mismatch;admitted_exact","nonempty(value.channels) and every_channel_has_species_and_orbital_label(value.channels)",BLOCK,"Orbital semantic scope is undefined."
F09,pair_cutoff_rule,object,"candidate_exact_replay;diagnosed_mismatch;admitted_exact","defines_neighbor_rule(value) and has_numeric_cutoff_or_algorithm(value)",BLOCK,"Pair population cannot be regenerated."
F10,ordered_pair_or_unordered_pair_convention,string,"candidate_exact_replay;diagnosed_mismatch;admitted_exact","value in ['ordered','unordered','directed_weighted'] and counting_convention_declared(value)",BLOCK,"Aggregation denominator is ambiguous."
F11,complete_pair_list_or_pair_list_hash,object,"candidate_exact_replay;diagnosed_mismatch;admitted_exact","has_complete_pair_list(value) or has_stable_pair_list_hash(value)",BLOCK,"Cannot verify the exact pair population."
F12,N_pair,integer,"candidate_exact_replay;diagnosed_mismatch;admitted_exact","is_integer(value) and value > 0 and equals_count(F11,value)",BLOCK,"No denominator or pair-list sanity check."
F13,raw_overlap_sum,number,"candidate_exact_replay;diagnosed_mismatch;admitted_exact","is_finite_number(value) and was_computed_before_normalization(value)",BLOCK,"Cannot diagnose arithmetic versus upstream provenance mismatch."
F14,normalization_formula,string,"candidate_exact_replay;diagnosed_mismatch;admitted_exact","is_sympy_compatible(value) and references_available_fields(value,['raw_overlap_sum','N_pair'])",BLOCK,"O_s scalar definition is unknown."
F15,normalization_code_or_commit,string,"candidate_exact_replay;diagnosed_mismatch;admitted_exact","is_code_pointer_or_commit(value) and implementation_matches_formula(F14,value)",BLOCK,"Formula implementation cannot be audited."
F16,basis_set_or_orbital_source,object,"candidate_exact_replay;diagnosed_mismatch;admitted_exact","identifies_basis_or_orbital_source(value) and includes_method_settings(value)",BLOCK,"Overlap matrix provenance is missing."
F17,software_name_version,object,"candidate_exact_replay;diagnosed_mismatch;admitted_exact","nonempty(value.name) and nonempty(value.version)",BLOCK,"Execution toolchain cannot be replayed."
F18,runtime_environment,object,"candidate_exact_replay;diagnosed_mismatch;admitted_exact","has_container_digest(value) or has_environment_lockfile(value) or has_os_compiler_library_manifest(value)",BLOCK,"Dependency state is not reproducible."
F19,executor_trace_or_workflow_graph,object,"candidate_exact_replay;diagnosed_mismatch;admitted_exact","is_dag_or_command_trace(value) and binds_inputs_outputs_and_code(value)",BLOCK,"No process provenance for the calculation."
F20,floating_point_precision_and_tolerance,object,"candidate_exact_replay;diagnosed_mismatch;admitted_exact","value.precision in ['float32','float64','extended','decimal'] and (value.abs_tol >= 0 or value.rel_tol >= 0)",BLOCK,"Numeric comparison policy is undeclared."
F21,recomputed_value,number,"diagnosed_mismatch;admitted_exact","is_finite_number(value) and generated_from_fields(['F04','F05','F08','F09','F11','F13','F14','F17','F18','F19'])",BLOCK,"No replay result exists."
F22,acceptance_tolerance,object,"diagnosed_mismatch;admitted_exact","defines_abs_or_rel_tolerance(value) and verdict_rule_is_predeclared(value)",BLOCK,"Final PASS/DIAGNOSED_MISMATCH cannot be decided."
