witness_field,required_for_gate,gate,pass_condition,block_condition,current_status
source_row_id,true,same_sample_source_identity,"Stable DOI plus table/figure/SI/path plus row/sample/snapshot id identifies the exact Srivastava/OI source row used by the witness payload.","Missing source_row_id or source_row_id not resolvable to an auditable Srivastava/OI source row blocks all A-side OI/Srivastava gates.","required_missing_for_current_candidates"
structure_id,true,structure_mapping,"structure_id is present and maps source_row_id to the exact atomistic structure, SI structure, or declared reconstruction version used for OI computation.","Missing structure_id or structure_id not traceable to source_row_id blocks Srivastava reproduction and OI mode claims.","required_missing_or_partial_for_current_candidates"
OI_comparison_mode,true,OI_mode_selection,"Value is exactly one of no_claim, fixed_density, fixed_pair, or srivastava_reproduction, and the mode is declared before any derived OI comparison is evaluated.","Missing value, unsupported value, or mode changed after looking at target label blocks the row; no_claim remains context-only and cannot pass material validation.","defined_as_required_requirement_current_payload_missing"
OI_raw_sum,true,Srivastava_OI_reproduction,"Numeric raw overlap sum is supplied with source_row_id, structure_id, pair selection rule, and reproducible extraction or computation provenance.","Missing OI_raw_sum blocks Srivastava reproduction, fixed_density, and fixed_pair gates even if OI_norm is reported.","required_missing_for_current_candidates"
OI_norm,true,reported_OI_context_or_reproduction,"Numeric OI_norm is supplied with explicit units/convention and is either reproduced from OI_raw_sum or marked reported_context_only.","Missing OI_norm blocks baseline context; reported OI_norm without raw-sum derivation remains not reproduced.","partial_reported_context_only_not_reproduced"
OI_normalization_formula_id,true,Srivastava_OI_reproduction,"Formula id points to an auditable equation/SI/table note defining normalization from OI_raw_sum to OI_norm for the same source_row_id.","Missing formula id, ambiguous normalization, or formula not tied to the source row blocks Srivastava reproduction.","required_missing_for_current_candidates"
pair_cutoff_A,true,pair_selection,"Numeric pair cutoff in Angstrom is supplied or an exact source-defined pair-selection rule is referenced by formula/procedure id.","Missing cutoff or pair-selection rule blocks OI_raw_sum reproducibility and all fixed-density/fixed-pair comparisons.","required_missing_for_current_candidates"
pair_density,true,fixed_density_OI_gate,"Numeric pair_density is supplied with units and provenance, and is derived from the same structure_id and pair selection rule as OI_raw_sum.","Missing pair_density blocks fixed_density mode; pair_density from a different structure or cutoff blocks the row.","required_missing_for_current_candidates"
OI_pair_mean,conditional,fixed_pair_OI_gate,"Required when OI_comparison_mode=fixed_pair; equals OI_raw_sum/N_pair within declared tolerance and shares source_row_id and structure_id provenance.","Missing OI_pair_mean in fixed_pair mode or mismatch with OI_raw_sum/N_pair blocks fixed_pair mode.","conditionally_required_current_candidates_not_populated"
N_pair,conditional,fixed_pair_OI_gate,"Required when OI_comparison_mode=fixed_pair; positive integer counted-pair denominator from the same structure_id and pair selection rule.","Missing, nonpositive, noninteger, or cross-structure N_pair blocks fixed_pair mode.","conditionally_required_current_candidates_not_populated"
N_pair_provenance_id,conditional,fixed_pair_denominator_provenance,"Required when OI_comparison_mode=fixed_pair; identifies the source or computation record proving N_pair for the same source_row_id, structure_id, and pair cutoff.","Missing denominator provenance blocks fixed_pair mode even if N_pair is numeric.","conditionally_required_current_candidates_not_populated"
