task_id,file_target,implementation_step,depends_on,expected_result,risk
I1.1,validation/validate.py,"Create pure module and CLI entry point: validate_payload(payload) returns structured status JSON; CLI reads payload JSON and writes status JSON.",none,"Validator can run in tests and from shell without changing semantics.","CLI behavior may drift from import behavior if not sharing one function."
I1.2,validation/validate.py,"Represent F01-F22 as FieldSpec records with field_id, JSON pointer, type, required modes, predicate adapter, and blocker reason.",I1.1,"Predicate gates are auditable against the schema contract.","Manual transcription error from schema into code."
I1.3,validation/validate.py,"Implement JSON pointer extraction with separate missing-field and present-invalid-field outcomes.",I1.2,"Diagnostics can report missing_fields, invalid_fields, and first_failed_predicate.","Nested object edge cases may collapse missing and invalid states."
I1.4,validation/validate.py,"Implement conservative predicate adapters for stable identifiers, exact locators, scalar units/dimensionless status, structure hashes, pair lists, normalization formula, execution provenance, and tolerance objects.",I1.3,"Each F-predicate can be mechanically evaluated without claiming material validity.","Predicates such as implementation_matches_formula may require executable artifact checks beyond syntax."
I1.5,validation/validate.py,"Resolve target modes reported_context, candidate_exact_replay, diagnosed_mismatch, admitted_exact, plus exact_certified_observable as strict admitted_exact alias.",I1.2,"Schema and oracle fixtures can use one target-mode evaluator.","Alias handling could accidentally loosen exact-mode gates."
I1.6,validation/validate.py,"Retire PARTIAL_CONTEXT_ONLY as an emitted terminal. Map legacy PARTIAL_CONTEXT_ONLY target requests to BLOCK with DEPRECATED_PARTIAL_CONTEXT_ONLY diagnostic.",I1.5,"Undefined partial-context terminal cannot become a silent upgrade path.","Downstream consumers expecting the old label may need migration."
I1.7,validation/validate.py,"Apply guards G01-G05 before status promotion: no scalar-only exactness, no DOI-only context pass, context is not exact, current Srivastava exact BLOCK, mismatch requires complete replay.",I1.5,"Forbidden upgrades remain blocked even with intent labels or partial proof objects.","Guard order mistakes could hide the more useful first_failed_predicate."
I1.8,validation/validate.py,"Implement final comparison only after F01-F22 pass, using reported_scalar.scalar, recomputed_value, and predeclared abs/rel tolerance.",I1.4,"Only complete bundles can emit DIAGNOSED_MISMATCH or ADMITTED_EXACT.","Tolerance semantics may be ambiguous when both abs and rel tolerances are present."
I1.9,validation/fixtures/A_expected_cases/*.json,"Create fixtures for the eight A expected cases: null/empty, scalar-only, DOI-only, Srivastava summary, context-only, replay-ready no recompute, complete mismatch, complete match.",I1.8,"Baseline expected statuses are regression-tested.","Fixture simplification may fail to exercise realistic predicate adapters."
I1.10,validation/fixtures/transition_oracle/*.json,"Create oracle-derived fixtures for no-silent-upgrade and mismatch cases, including numeric-closeness-only, narrative-provenance-only, executor-quality-only, failed structure, failed cardinality, failed raw sum, and failed normalization.",I1.8,"Adversarial transition coverage prevents silent promotions.","The oracle uses WARN_UNRESOLVED_SCALAR as a warning, not an A-schema terminal."
I1.11,tests/test_validate.py,"Parametrize tests over fixtures and assert terminal_status, first_failed_predicate, missing_fields, invalid_fields, and diagnostics.",I1.9;I1.10,"Implementation can be verified against both contracts.","Overly brittle diagnostics may make valid refactors difficult."
I1.12,validation/README.md,"Document emitted statuses, retired PARTIAL_CONTEXT_ONLY handling, fixture schema, CLI usage, and forbidden claims.",I1.11,"Future implementers know context pass is not exact admission.","Documentation can become stale if generated status names change."
