sample_id,source_row_id,reported_context_available,attempt_mode,required_missing_witnesses,expected_reproduction_status,allowed_use_now,forbidden_use_now
a-IGZO-1114,Srivastava2019_TableII_Fig4_a_IGZO_1114,true,reported_context_only,none_for_reported_context__exact_upgrade_still_requires_structure_id__num_atoms__pair_list__N_pair__OI_raw_sum__executable_normalization_formula_id__same_structure_mapping,PASS_REPORTED_CONTEXT_ONLY,use_reported_OI_norm_cell_volume_m_eff_and_method_labels_as_literature_context_only,do_not_label_as_reproduced_exact_O_s__do_not_use_for_residual_or_graph_validation
a-IGZO-1114,Srivastava2019_TableII_Fig4_a_IGZO_1114,true,fixed_density_attempt,pair_density__pair_density_provenance_id__structure_id__num_atoms__OI_raw_sum__normalization_rule_binding,BLOCK_FIXED_DENSITY_ATTEMPT,none_beyond_reported_context_only,do_not_infer_pair_density_from_reported_OI_norm__do_not_call_fixed_density_attempt_Srivastava_reproduction
a-IGZO-1114,Srivastava2019_TableII_Fig4_a_IGZO_1114,true,fixed_pair_attempt,N_pair__N_pair_provenance_id__pair_list_hash__structure_id__num_atoms__OI_raw_sum__OI_pair_mean,BLOCK_FIXED_PAIR_ATTEMPT,none_beyond_reported_context_only,do_not_synthesize_N_pair_or_OI_pair_mean_from_context_rows__do_not_run_material_validation
a-IGZO-1114,Srivastava2019_TableII_Fig4_a_IGZO_1114,true,exact_reproduction_attempt,official_row_page_provenance__structure_id__coordinates_or_file_hash__num_atoms__pair_rule_provenance__pair_list_hash__N_pair__N_pair_provenance_id__executable_Mulliken_STO_kernel__q_i_q_j_weight_table__OI_raw_sum__executable_normalization_formula_id__reproduced_OI_norm_check__same_structure_mapping,BLOCK_EXACT_REPRODUCTION_ATTEMPT,none_beyond_reported_context_only,do_not_claim_exact_Srivastava_O_s_baseline__do_not_claim_graph_beats_overlap
a-IGZO-2217,Srivastava2019_TableII_Fig4_a_IGZO_2217,true,reported_context_only,none_for_reported_context__exact_upgrade_still_requires_structure_id__num_atoms__pair_list__N_pair__OI_raw_sum__executable_normalization_formula_id__same_structure_mapping,PASS_REPORTED_CONTEXT_ONLY,use_reported_OI_norm_cell_volume_m_eff_and_method_labels_as_literature_context_only,do_not_label_as_reproduced_exact_O_s__do_not_use_for_residual_or_graph_validation
a-IGZO-2217,Srivastava2019_TableII_Fig4_a_IGZO_2217,true,fixed_density_attempt,pair_density__pair_density_provenance_id__structure_id__num_atoms__OI_raw_sum__normalization_rule_binding,BLOCK_FIXED_DENSITY_ATTEMPT,none_beyond_reported_context_only,do_not_infer_pair_density_from_reported_OI_norm__do_not_call_fixed_density_attempt_Srivastava_reproduction
a-IGZO-2217,Srivastava2019_TableII_Fig4_a_IGZO_2217,true,fixed_pair_attempt,N_pair__N_pair_provenance_id__pair_list_hash__structure_id__num_atoms__OI_raw_sum__OI_pair_mean,BLOCK_FIXED_PAIR_ATTEMPT,none_beyond_reported_context_only,do_not_synthesize_N_pair_or_OI_pair_mean_from_context_rows__do_not_run_material_validation
a-IGZO-2217,Srivastava2019_TableII_Fig4_a_IGZO_2217,true,exact_reproduction_attempt,official_row_page_provenance__structure_id__coordinates_or_file_hash__num_atoms__pair_rule_provenance__pair_list_hash__N_pair__N_pair_provenance_id__executable_Mulliken_STO_kernel__q_i_q_j_weight_table__OI_raw_sum__executable_normalization_formula_id__reproduced_OI_norm_check__same_structure_mapping,BLOCK_EXACT_REPRODUCTION_ATTEMPT,none_beyond_reported_context_only,do_not_claim_exact_Srivastava_O_s_baseline__do_not_claim_graph_beats_overlap
a-ZnON-21,Srivastava2019_TableII_Fig4_a_ZnON_21,true,reported_context_only,none_for_reported_context__exact_upgrade_still_requires_structure_id__num_atoms__pair_list__N_pair__OI_raw_sum__executable_normalization_formula_id__same_structure_mapping,PASS_REPORTED_CONTEXT_ONLY,use_reported_OI_norm_cell_volume_m_eff_and_method_labels_as_literature_context_only,do_not_label_as_reproduced_exact_O_s__do_not_use_for_residual_or_graph_validation
a-ZnON-21,Srivastava2019_TableII_Fig4_a_ZnON_21,true,fixed_density_attempt,pair_density__pair_density_provenance_id__structure_id__num_atoms__OI_raw_sum__normalization_rule_binding,BLOCK_FIXED_DENSITY_ATTEMPT,none_beyond_reported_context_only,do_not_infer_pair_density_from_reported_OI_norm__do_not_call_fixed_density_attempt_Srivastava_reproduction
a-ZnON-21,Srivastava2019_TableII_Fig4_a_ZnON_21,true,fixed_pair_attempt,N_pair__N_pair_provenance_id__pair_list_hash__structure_id__num_atoms__OI_raw_sum__OI_pair_mean,BLOCK_FIXED_PAIR_ATTEMPT,none_beyond_reported_context_only,do_not_synthesize_N_pair_or_OI_pair_mean_from_context_rows__do_not_run_material_validation
