case_id,source_matrix_row,authoritative,expected_status,first_failed_predicate,coverage_family,payload_defect,attempted_upgrade,why_this_catches_overclaim
I1_LOCATOR_ONLY_TO_CONTEXT,1,true,BLOCK,F01/P0_LOCATOR_REPORTED_CONTEXT,locator_context_gate,"F02 exact locator exists, but F01 stable identifier and F03 parseable reported scalar are absent.","Treat exact page/table/row locator as enough for reported_context.","A locator without a stable bibliographic anchor and scalar cannot establish what value is being localized."
I1_SCALAR_ONLY_TO_CONTEXT,2,true,BLOCK,F01/P0_LOCATOR_REPORTED_CONTEXT,locator_context_gate,"F03-like reported scalar exists without F01 stable source or F02 exact locator.","Treat a numeric O_s value as a reported_context pass.","Exercises G01_no_scalar_only_exactness and prevents scalar-only evidence from becoming any non-BLOCK terminal state."
I1_DOI_PLUS_SCALAR_NO_LOCATOR,3,true,BLOCK,F02/P0_LOCATOR_REPORTED_CONTEXT,locator_context_gate,"F01 and F03 pass, but F02 exact page/table/figure/row locator is missing.","Treat citation plus scalar as source-localized context.","Requires stable source position, not just bibliography and value."
I1_CONTEXT_ONLY_TO_EXACT,4,true,CONDITIONAL_CONTEXT_PASS,F04/P1_STRUCTURE_BOUND_CONTEXT for exact target,context_to_exact_guard,"F01-F03 pass, but F04-F22 are absent.","Promote CONDITIONAL_CONTEXT_PASS to ADMITTED_EXACT because source context is complete.","Separates reported scalar localization from exact observable replay."
I1_NUMERIC_CLOSENESS_CONTEXT_TO_EXACT,5,true,BLOCK,P8_MODE_TRANSITION_GUARD,numeric_closeness_guard,"F01-F03 pass and an unproven numeric value is close to reported_scalar, but F04-F20 provenance and F22 predeclared tolerance are missing.","Promote by numeric closeness alone.","Catches validators that compare numbers before proving same structure, same pair set, same arithmetic, and predeclared tolerance."
I1_NUMERIC_CLOSENESS_REPLAY_NO_TOLERANCE,6,true,BLOCK,F22,numeric_closeness_guard,"F01-F21 are present, but F22 acceptance_tolerance is missing or was chosen after observing the difference.","Use small absolute difference as implicit tolerance.","Forces tolerance to be explicit and predeclared before final admission or mismatch."
I1_EXECUTOR_QUALITY_ONLY_TO_EXACT,7,true,BLOCK,P8_MODE_TRANSITION_GUARD,executor_provenance_guard,"Good software metadata or clean workflow narrative exists, but F16-F20 are incomplete and F04-F15/F21-F22 are absent or unbound.","Treat executor quality as replay provenance.","Prevents reputable tools, version strings, or narrative reproducibility from replacing digest-bearing proof objects."
I1_EXECUTOR_TRACE_UNBOUND_INPUTS,8,true,BLOCK,F19/P5_EXECUTOR_TRACE_BOUND_ATTEMPT,executor_provenance_guard,"F17-F20 appear high quality, but F19 trace does not bind source structure, pair list, normalization code, intermediate digest, and output digest.","Treat any DAG or command log as sufficient execution provenance.","Distinguishes a trace-shaped object from a proof-carrying trace bound to exact inputs and outputs."
I1_REPLAY_READY_NO_RECOMPUTE,9,true,CANDIDATE_EXACT_REPLAY,F21 for admitted_exact/diagnosed_mismatch,replay_readiness_guard,"F01-F20 pass, but F21 recomputed_value and F22 acceptance_tolerance are missing.","Declare exactness or mismatch before final replay comparison.","Ensures replay readiness is terminally distinct from admitted exactness and mismatch."
I1_FULL_EXACT_MATCH,10,true,ADMITTED_EXACT,NONE,positive_exact_control,"No defect: F01-F22 pass and recomputed_value agrees with reported_scalar under predeclared tolerance.","None; positive control for exact admission.","Shows the validator is not merely conservative; exactness is admitted only when the full proof tuple and comparison pass."
I1_COMPLETE_FINAL_VALUE_MISMATCH,11,true,DIAGNOSED_MISMATCH,F21/F22 final comparison,mismatch_diagnosis,"F01-F22 are present and provenance predicates pass, but recomputed_value fails the F22 predeclared comparison.","Treat near-complete provenance as exact despite failed comparison.","Prevents full payload completeness from overriding the actual scalar disagreement."
I1_STRUCTURE_MAPPING_MISMATCH_WITH_GOOD_TRACE,12,true,DIAGNOSED_MISMATCH,F07/P1_STRUCTURE_BOUND_CONTEXT,mismatch_diagnosis,"Most replay fields are present, but F07 same_structure_mapping_rule fails or maps to a different configuration.","Use good pair/arithmetic/executor trace to compensate for failed structure identity.","More downstream proof objects cannot repair a failed upstream identity predicate."
I1_PAIR_CARDINALITY_MISMATCH_NUMERIC_CLOSE,13,true,DIAGNOSED_MISMATCH,F12/P2_PAIR_POLICY_BOUND_ATTEMPT,mismatch_diagnosis,"Pair list/hash and N_pair disagree, while final scalar is numerically close to reported_scalar.","Accept exactness because the final value is close.","Forces pair population integrity to dominate post hoc scalar closeness."
I1_RAW_SUM_MISMATCH_WITH_NORMALIZATION_PASS,14,true,DIAGNOSED_MISMATCH,F13/P3_RAW_SUM_BOUND_ATTEMPT,mismatch_diagnosis,"Pair policy and normalization fields are present, but F13 raw_overlap_sum cannot be reproduced from the declared pair set and execution trace.","Let the normalized scalar pass hide a raw-sum mismatch.","Blocks arithmetic laundering where downstream normalization masks an upstream raw-sum failure."
I1_NORMALIZATION_CONSTANT_MISMATCH_WITH_GOOD_TRACE,15,true,DIAGNOSED_MISMATCH,F14/P4_NORMALIZATION_BOUND_ATTEMPT,mismatch_diagnosis,"Raw sum and pair fields are present, but F14/F15 formula or constants do not match the code pointer.","Use executor trace quality to override wrong normalization.","Executor provenance cannot repair a false scalar definition."
I1_CURRENT_SRIVASTAVA_SUMMARY_BLOCK,16,true,BLOCK,F02 or F04; G04_current_srivastava_exact_block,current_srivastava_guard,"Current Srivastava-related summary/citation lacks exact source row/page and executable witness tuple.","Admit exact Srivastava O_s from familiarity, citation, or summary-level context.","Hard regression guard: current Srivastava exact O_s remains blocked until full F01-F22 witness is supplied."
I1_CURRENT_SRIVASTAVA_CONTEXT_ONLY_NOT_EXACT,17,true,CONDITIONAL_CONTEXT_PASS,F04/P1_STRUCTURE_BOUND_CONTEXT for exact target,current_srivastava_guard,"Current Srivastava payload supplies F01-F03 but no F04-F22 replay bundle.","Promote source-localized reported scalar to exact Srivastava O_s.","Allows reported context while forbidding exact O_s admission for the current evidence class."
