file_path,purpose,required_content,source_contract,acceptance_check
validation/validate.py,validator API and CLI entry,"Expose validate_payload(payload: dict) -> dict; implement shared CLI wrapper; parse payload_id target_mode witness; return structured BLOCK instead of crashing on malformed validator payloads; emit only BLOCK CONDITIONAL_CONTEXT_PASS CANDIDATE_EXACT_REPLAY DIAGNOSED_MISMATCH ADMITTED_EXACT.",I1_validator_implementation_plan_round1.csv;S2_R1_validator_payload_schema_round3.json,"Import path and CLI call the same function; no result emits PARTIAL_CONTEXT_ONLY."
validation/validate.py,strict legacy PARTIAL_CONTEXT_ONLY BLOCK rule,"Before any target-mode alias resolution or reported_context evaluation detect raw target_mode == PARTIAL_CONTEXT_ONLY; return terminal_status BLOCK diagnostic DEPRECATED_PARTIAL_CONTEXT_ONLY migration_required true; evaluate F01-F03 only as diagnostics; never promote to CONDITIONAL_CONTEXT_PASS.",C2T_S2_R1_I1_round2.json;I1_partial_context_resolution_round2.csv;inspector_A_C2T_S2_R1_I1_round2.md,"All legacy fixtures including F01_F02_F03_pass expect BLOCK and forbid CONDITIONAL_CONTEXT_PASS and PARTIAL_CONTEXT_ONLY."
validation/validate.py,target mode gates,"Implement reported_context requiring F01-F03; candidate_exact_replay requiring F01-F20; diagnosed_mismatch requiring F01-F22 plus failed predeclared comparison; admitted_exact requiring F01-F22 plus passed comparison; exact_certified_observable is allowed only as strict admitted_exact alias.",S2_R1_validator_payload_schema_round3.json;S2_R1_A_expected_cases_round3.csv,"Each expected case reaches only its contracted terminal status and incomplete modes remain BLOCK."
validation/validate.py,predicate and diagnostic engine,"Represent F01-F22 as auditable field specs with JSON pointer type predicate required modes and blocker_if_missing; separate missing_fields from invalid_fields; report first_failed_predicate and predicate_results.",S2_R1_validator_payload_schema_round3.json;S2_R1_executable_witness_schema_round2.csv,"Tests can assert missing_fields invalid_fields first_failed_predicate and diagnostics without reading implementation internals."
validation/validate.py,transition guards,"Enforce no scalar-only exactness; no DOI-only context pass; context is not exact; current Srivastava exact payload class remains BLOCK without full witness; mismatch requires complete replay; no silent upgrade from numeric closeness or provenance narrative.",S2_R1_validator_payload_schema_round3.json;S2_R1_A_expected_cases_round3.csv,"CASE_NULL_SCALAR_ONLY CASE_NULL_DOI_ONLY CASE_CURRENT_SRIVASTAVA_SUMMARY and replay-incomplete cases do not upgrade."
validation/fixtures/a_expected_cases.jsonl,baseline payload fixtures,"JSONL rows with fixture_id source_contract payload notes for CASE_NULL_EMPTY CASE_NULL_SCALAR_ONLY CASE_NULL_DOI_ONLY CASE_CURRENT_SRIVASTAVA_SUMMARY CASE_CURRENT_SRIVASTAVA_CONTEXT_COMPLETE_ONLY CASE_FUTURE_REPLAY_READY_NO_RECOMPUTE CASE_FUTURE_COMPLETE_MISMATCH CASE_FUTURE_COMPLETE_MATCH.",S2_R1_A_expected_cases_round3.csv;S2_R1_validator_payload_schema_round3.json,"Every baseline case has exactly one matching expected_results.csv row."
validation/fixtures/legacy_partial_context.jsonl,no-silent-upgrade legacy fixtures,"JSONL rows for legacy PARTIAL_CONTEXT_ONLY absent context DOI-only partial invalid and complete F01-F03 states plus caller-migrated reported_context complete control; legacy rows must retain raw target_mode PARTIAL_CONTEXT_ONLY.",I1_partial_context_resolution_round2.csv;C2T_S2_R1_I1_round2.json,"Every legacy row expects BLOCK DEPRECATED_PARTIAL_CONTEXT_ONLY migration_required true; only caller-migrated reported_context complete may expect CONDITIONAL_CONTEXT_PASS."
validation/fixtures/expected_results.csv,expected result manifest,"Columns fixture_id expected_terminal_status expected_diagnostic expected_first_failed_predicate expected_missing_fields expected_invalid_fields expected_migration_required forbidden_terminal_statuses; include baseline and legacy fixtures.",PI_C2T_S2_R1_I1_round2.md;I1_partial_context_resolution_round2.csv;S2_R1_A_expected_cases_round3.csv,"Pytest reads this manifest and fails on terminal status diagnostics migration flag or forbidden status mismatch."
tests/test_validate.py,regression tests,"Parametrize over expected_results.csv and fixture JSONL files; call validate_payload directly; assert terminal_status diagnostics first_failed_predicate missing_fields invalid_fields migration_required; include CLI smoke test if module exists.",I1_validator_implementation_plan_round1.csv;PI_C2T_S2_R1_I1_round2.md,"python -m pytest tests/test_validate.py is the required regression command once implementation exists."
validation/README.md,user and maintainer contract,"Document emitted statuses; retired non-emitted PARTIAL_CONTEXT_ONLY; strict raw-mode BLOCK rule; fixture JSONL schema; expected-results CSV schema; CLI examples; validate_payload API; forbidden scientific claims.",C2T_S2_R1_I1_round2.json;PI_C2T_S2_R1_I1_round2.md,"README states caller must resubmit target_mode reported_context to reach CONDITIONAL_CONTEXT_PASS and validator never performs that migration implicitly."
validation/results.jsonl,optional generated CLI output,"One JSON result per input fixture with payload_id target_mode_raw target_mode_resolved terminal_status diagnostics missing_fields invalid_fields first_failed_predicate predicate_results migration_required comparison; generated by CLI and not a source contract.",cli_contract_round3,"When generated it conforms to api_contract output_required_keys and contains no PARTIAL_CONTEXT_ONLY terminal_status."
