case_id,current_mode,target_mode,proof_objects_present,expected_status,first_failed_predicate,why_no_silent_upgrade
NULL_TO_CONTEXT,inadmissible_scalar_only,reported_context,none,BLOCK,P0_LOCATOR_REPORTED_CONTEXT,"No source_bibliographic_id or stable_source_locator; absence of proof objects cannot be upgraded by intent."
SCALAR_ONLY_TO_CONTEXT,inadmissible_scalar_only,reported_context,reported_scalar_value,WARN_UNRESOLVED_SCALAR,P0_LOCATOR_REPORTED_CONTEXT,"A scalar alone is not a locator-gated context witness and cannot pass P0."
CURRENT_TO_CONTEXT,inadmissible_scalar_only,reported_context,reported_scalar_value;source_bibliographic_id,BLOCK,P0_LOCATOR_REPORTED_CONTEXT,"Current evidence lacks stable_source_locator; bibliography and scalar do not silently upgrade to context PASS."
CONTEXT_ONLY_TO_CONTEXT,inadmissible_scalar_only,reported_context,reported_scalar_value;source_bibliographic_id;stable_source_locator,CONDITIONAL_CONTEXT_PASS,NONE,"P0 may pass only as source-reported context; it carries no structure/pair/sum/normalization/trace proof objects."
CONTEXT_ONLY_TO_EXACT,reported_context,exact_certified_observable,reported_scalar_value;source_bibliographic_id;stable_source_locator,BLOCK,P1_STRUCTURE_BOUND_CONTEXT,"Locator-gated context is evidence for source reporting only; P1-P6 exact proof objects are absent."
STRUCTURE_ONLY_TO_EXACT,structure_bound_context,exact_certified_observable,source_bibliographic_id;stable_source_locator;canonical_structure_id;structure_hash;same_structure_mapping,BLOCK,P2_PAIR_POLICY_BOUND_ATTEMPT,"Structure identity does not define the pair population or computation; no transition witness for exact mode."
PAIR_POLICY_ONLY_TO_EXACT,pair_policy_bound_attempt,exact_certified_observable,source_bibliographic_id;stable_source_locator;canonical_structure_id;structure_hash;same_structure_mapping;pair_cutoff_policy;pair_enumerator_hash_or_pair_list;N_pair,BLOCK,P3_RAW_SUM_BOUND_ATTEMPT,"Pair enumeration without raw_overlap_sum cannot certify the derived scalar."
SUM_ONLY_TO_EXACT,sum_bound_attempt,exact_certified_observable,source_bibliographic_id;stable_source_locator;canonical_structure_id;structure_hash;same_structure_mapping;pair_cutoff_policy;pair_enumerator_hash_or_pair_list;N_pair;raw_overlap_sum,BLOCK,P4_NORMALIZATION_BOUND_ATTEMPT,"A raw sum is not the final observable without normalization formula/code, constants, and tolerance."
NORMALIZED_NO_TRACE_TO_EXACT,normalization_bound_attempt,exact_certified_observable,source_bibliographic_id;stable_source_locator;canonical_structure_id;structure_hash;same_structure_mapping;pair_cutoff_policy;pair_enumerator_hash_or_pair_list;N_pair;raw_overlap_sum;normalization_formula_or_code_hash;declared_constants;tolerance_rule,BLOCK,P5_EXECUTOR_TRACE_BOUND_ATTEMPT,"Normalization-bound evidence lacks digest-bearing executor_trace and therefore cannot become exact."
EXACT_COMPLETE_TO_EXACT,executor_trace_bound_attempt,exact_certified_observable,source_bibliographic_id;stable_source_locator;canonical_structure_id;structure_hash;same_structure_mapping;pair_cutoff_policy;pair_enumerator_hash_or_pair_list;N_pair;raw_overlap_sum;normalization_formula_or_code_hash;declared_constants;tolerance_rule;executor_trace;input_digest;intermediate_digest;output_digest;verifier_version,ADMITTED_EXACT,NONE,"All P0-P6 proof objects and checks pass; P8 permits the transition because target predicates are satisfied."
MISMATCH_STRUCTURE_TO_EXACT,structure_bound_context,exact_certified_observable,source_bibliographic_id;stable_source_locator;canonical_structure_id;structure_hash;same_structure_mapping=false;pair_cutoff_policy;pair_enumerator_hash_or_pair_list;N_pair;raw_overlap_sum;normalization_formula_or_code_hash;declared_constants;tolerance_rule;executor_trace;input_digest;intermediate_digest;output_digest;verifier_version,DIAGNOSED_MISMATCH,P1_STRUCTURE_BOUND_CONTEXT,"More fields cannot override a failed same_structure_mapping; failed target predicate blocks exact mode."
MISMATCH_CARDINALITY_TO_EXACT,pair_policy_bound_attempt,exact_certified_observable,source_bibliographic_id;stable_source_locator;canonical_structure_id;structure_hash;same_structure_mapping;pair_cutoff_policy;pair_enumerator_hash_or_pair_list;N_pair_mismatch;raw_overlap_sum;normalization_formula_or_code_hash;declared_constants;tolerance_rule;executor_trace;input_digest;intermediate_digest;output_digest;verifier_version,DIAGNOSED_MISMATCH,P2_PAIR_POLICY_BOUND_ATTEMPT,"A cardinality mismatch is a failed pair predicate; numeric closeness cannot repair the pair set."
MISMATCH_SUM_TO_EXACT,sum_bound_attempt,exact_certified_observable,source_bibliographic_id;stable_source_locator;canonical_structure_id;structure_hash;same_structure_mapping;pair_cutoff_policy;pair_enumerator_hash_or_pair_list;N_pair;raw_overlap_sum_mismatch;normalization_formula_or_code_hash;declared_constants;tolerance_rule;executor_trace;input_digest;intermediate_digest;output_digest;verifier_version,DIAGNOSED_MISMATCH,P3_RAW_SUM_BOUND_ATTEMPT,"A recomputed raw-sum mismatch blocks exact certification even if later trace fields exist."
MISMATCH_NORMALIZATION_TO_EXACT,normalization_bound_attempt,exact_certified_observable,source_bibliographic_id;stable_source_locator;canonical_structure_id;structure_hash;same_structure_mapping;pair_cutoff_policy;pair_enumerator_hash_or_pair_list;N_pair;raw_overlap_sum;normalization_formula_or_code_hash;declared_constants_mismatch;tolerance_rule;executor_trace;input_digest;intermediate_digest;output_digest;verifier_version,DIAGNOSED_MISMATCH,P4_NORMALIZATION_BOUND_ATTEMPT,"Wrong constants or normalization fail the derived-scalar proposition; executor quality cannot upgrade it."
MODE_PROMOTION_NUMERIC_CLOSENESS,reported_context,exact_certified_observable,reported_scalar_value;source_bibliographic_id;stable_source_locator;numeric_closeness_only,BLOCK,P8_MODE_TRANSITION_GUARD,"P8 blocks promotion justified by numeric closeness without target-mode proof objects."
MODE_PROMOTION_NARRATIVE_PROVENANCE,reported_context,exact_certified_observable,reported_scalar_value;source_bibliographic_id;stable_source_locator;narrative_provenance_only,BLOCK,P8_MODE_TRANSITION_GUARD,"P8 blocks promotion justified by narrative provenance or bibliographic familiarity."
MODE_PROMOTION_EXECUTOR_QUALITY,normalization_bound_attempt,exact_certified_observable,reported_scalar_value;source_bibliographic_id;stable_source_locator;normalization_formula_or_code_hash;executor_quality_only,BLOCK,P8_MODE_TRANSITION_GUARD,"P8 blocks promotion justified by executor quality without digest-bearing trace and exact required fields."
